individualID,domainID,taxonID,subsample1Height,scientificName,elevation,siteID,decimalLatitude,decimalLongitude,leafMassPerArea,dryMassFraction,ligninPercent,cellulosePercent,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,extractChlAConc,extractChlBConc,extractCarotConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,nitrogenPercent,carbonPercent
NEON.PLA.D08.LENO.01186Z,D08,ULAM,12.5,Ulmus americana L.,10.8,LENO,31.808121,-88.179966,53.9,0.334,17.630000000000003,19.270000000000003,0.285,1.606,1.398,15.98,5.55,3.4,0.245,0.048,106.3,50.5,5.5,37.9,16.1,2.22,44.91
NEON.PLA.D08.LENO.01187Z,D08,PLOC,10.2,Platanus occidentalis L.,12.8,LENO,31.824646,-88.177622,62,0.382,29.12,21.24,0.268,1.171,0.543,8.8,2.64,1.91,0.152,0.061,112,67.8,7.7,12.7,24.6,2,49.26
NEON.PLA.D08.LENO.01188Z,D08,FRPE,4.8,Fraxinus pennsylvanica Marshall,12.8,LENO,31.824646,-88.177622,2.1,0.287,24.27,19.94,0.316,1.574,0.837,16,4.61,4.23,0.265,0.097,52,71.8,13.3,11.7,30.8,2.78,47.64
NEON.PLA.D08.LENO.01189Z,D08,CACA18,6.4,Carpinus caroliniana Walter,13.7,LENO,31.857548,-88.163273,63.7,0.455,6.57,16.72,0.167,0.562,1.138,9.48,3.34,2.17,0.174,0.049,1402,57.3,11.5,27.1,22.4,1.8,44.84
NEON.PLA.D08.LENO.01190Z,D08,FRPE,6.8,Fraxinus pennsylvanica Marshall,11.3,LENO,31.857053,-88.161742,35.3,0.322,23.02,28.26,0.32,1.624,1.209,21.36,6.71,5.39,0.197,0.093,35.9,75.6,18,25.2,20.4,2.35,47.29
NEON.PLA.D08.LENO.01191Z,D08,ULAM,8.1,Ulmus americana L.,11.3,LENO,31.857053,-88.161742,41.9,0.325,15.65,19.53,0.302,1.5,1.336,18.84,6.5,3.62,0.331,0.057,137.1,65.5,8.9,33.1,24.4,2.57,44.86
NEON.PLA.D08.LENO.01202,D08,QUPA5,25.4,Quercus pagoda Raf.,15.4,LENO,31.811628,-88.181313,83.6,0.442,24.34,22.61,0.165,1.036,0.656,7.29,1.55,2,0.139,0.053,1394.7,45.5,9.3,19,35.5,2.15,50.24
NEON.PLA.D08.LENO.01203Z,D08,QUPH,19,Quercus phellos L.,12.4,LENO,31.821088,-88.182303,74.6,0.433,22.64,19.27,0.168,0.801,0.497,9.03,2.17,2.47,0.148,0.052,1361.3,40.3,7.9,22.2,28.7,2.22,48.86
NEON.PLA.D08.LENO.01206,D08,CACA18,10.4,Carpinus caroliniana Walter,15.4,LENO,31.811628,-88.181313,54.9,0.434,6.69,19.28,0.181,0.802,1.345,9.28,2.91,2.35,0.168,0.047,1016.9,44.5,11.1,22.8,37.3,2.18,47.28
NEON.PLA.D08.LENO.08425,D08,QUNI,19.5,Quercus nigra L.,12.4,LENO,31.854294,-88.160718,68.2,0.425,21.33,26.67,0.168,0.817,0.667,11,3.02,2.45,0.169,0.05,705.3,37.1,7.2,20.2,37,1.9249999999999998,49.614999999999995
NEON.PLA.D08.LENO.08444,D08,ULAM,7,Ulmus americana L.,12.4,LENO,31.854294,-88.160718,58.4,0.327,17.77,19.63,0.294,1.876,1.0725,13.06,4.03,3.26,0.253,0.057999999999999996,58.7,47.55,5.800000000000001,52.1,33.1,2.65,45.57
NEON.PLA.D08.LENO.08458,D08,LIST2,10.7,Liquidambar styraciflua L.,12.4,LENO,31.854294,-88.160718,58.6,0.287,18.06,17.89,0.295,1.39,0.617,12.08,3.8,2.67,0.293,0.075,995.4,38,10.8,20.7,39.3,2.44,49.71
NEON.PLA.D08.LENO.08521,D08,CACA18,4.7,Carpinus caroliniana Walter,12.1,LENO,31.85541,-88.160398,46.8,0.449,6.63,18.88,0.168,0.677,1.383,12.02,4.25,2.6,0.199,0.049,582.4,47.7,8.3,18.5,29.8,2,47.54
NEON.PLA.D08.LENO.08527,D08,LIST2,16.3,Liquidambar styraciflua L.,12.1,LENO,31.85541,-88.160398,65.8,0.299,20.78,17.67,0.238,0.962,0.6,7.45,1.99,1.93,0.208,0.067,736,35.5,7.9,10.4,44.5,2.14,48.91
NEON.PLA.D08.LENO.08530,D08,LIST2,17.5,Liquidambar styraciflua L.,12.1,LENO,31.85541,-88.160398,74.4,0.343,17.5,13.77,0.366,0.929,0.832,6.29,1.7,1.61,0.314,0.069,1027.8,23.2,12.4,13.7,36.7,2.05,48.19
NEON.PLA.D08.LENO.08763,D08,QUNI,11,Quercus nigra L.,11.3,LENO,31.857053,-88.161742,89.3,0.449,21.77,25.09,0.153,0.861,0.779,11.7,3.8,2.38,0.154,0.052,676.3,42.9,7.4,21.2,34.3,2.15,49.61
NEON.PLA.D08.LENO.11695Z,D08,QULA3,19,Quercus laurifolia Michx.,10.9,LENO,31.806907,-88.19388,93.9,0.467,18.32,20.48,0.132,0.639,0.44,8.41,2.44,2.19,0.162,0.044,1450.2,36.8,6.7,16,22.8,1.96,49.35
NEON.PLA.D08.LENO.11696Z,D08,CELA,15.5,Celtis laevigata Willd.,10.3,LENO,31.808316,-88.188214,40,0.354,6.45,14.36,0.311,1.727,2.678,13.34,3.25,3.84,0.4,0.072,138.4,50.7,9.4,19.4,24.8,3.48,44.35
